,text
0,"
140g
butter
softened, plus extra for the tin
140g
caster sugar
2 large
eggs
beaten
140g
self-raising flour
1 tsp
baking powder
2 very ripe
bananas
mashed
50g
icing sugar
handful
dried banana chips
for decoration
"
1,"
3 large black
bananas
75ml
vegetable oil
or sunflower oil, plus extra for the tin
100g
brown sugar
225g
plain flour
(or use self-raising flour and reduce the baking powder to 2 heaped tsp)
3 heaped tsp
baking powder
3 tsp
cinnamon
or mixed spice
50g
dried fruit
or nuts (optional)
"
2,"
low-fat spread
for the tin, plus extra to serve
140g
wholemeal flour
100g
self-raising flour
1 tsp
bicarbonate of soda
1 tsp
baking powder
300g
mashed banana
from overripe black bananas
4 tbsp
agave syrup
3
large eggs
beaten with a fork
150ml
pot low-fat natural yogurt
25g
chopped pecans
or walnuts (optional)
"
3,"
140g
unsalted butter
softened, plus extra for the tin
140g
golden caster sugar
2
eggs
beaten
1 tsp
vanilla extract
140g
self-raising flour
1 tsp
baking powder
3
ripe bananas
peeled and mashed
100g
chocolate chips
"
4,"
125g
soft butter
plus extra for the tin
75g
caster sugar
50g
dark brown soft sugar
3
medium eggs
2
large ripe bananas
mashed
50g
natural yogurt
200g
plain flour
2 tsp
baking powder
50g
pitted dates
chopped (about 10)
50g
pecans
or walnuts, chopped (or mixed chopped nuts)
For the toffee sauce
100g
light brown soft sugar
25g
butter
cut into cubes
100ml
double cream
For the banana & nut brittle
150g
caster sugar
50g
pecan
or walnuts (or mixed nuts)
50g
banana chips
½ tsp
sea salt
flakes
"
5,"
5
small ripe bananas
peeled, 4 mashed, 1 sliced down the middle to decorate the top
150g
gluten-free self-raising flour
100g
gluten-free oats
50g
ground almonds
1 tsp
gluten-free baking powder
1 tsp
ground cinnamon
90g
dark brown soft sugar
90g
caster sugar
100g
butter
melted
2
eggs
beaten
1 tbsp
icing sugar
"
6,"
150ml
sunflower or vegetable oil
plus extra for the tin
150g
caster sugar
150g
self-raising flour
1 tsp
baking powder
2
eggs
2
overripe bananas
50g
pecans
chopped (optional)
50g
chocolate chips
(optional)
"
7,"
3
ripe bananas
(around 300g peeled weight)
150g
butter
softened
100g
caster sugar
100g
light brown soft sugar
3
eggs
250g
self-raising flour
1 tsp
baking powder
"
8,"
150g
unsalted butter
softened, plus extra for the tin
90g
caster sugar
2 large
eggs
beaten
150g
self-raising flour
1 tsp
baking powder
1 tsp
mixed spice
2 ripe
bananas
(200g), peeled and mashed
150g
mincemeat
(ensure it’s vegetarian, if needed)
For the whipped cinnamon butter
100g
salted butter
softened
2 tbsp
honey
2 tsp ground
cinnamon
"
9,"
125g
coconut oil
or butter, plus extra for the tin
2
large very ripe bananas
3
medium eggs
125g
golden caster sugar
2 tbsp
coconut yogurt
or natural yogurt, plus extra to serve
200g
plain flour
2 tsp
baking powder
seeds from 12 cardamom pods
crushed
"
