,text
0,"
500g
strong white flour
plus extra for dusting
2 tsp
salt
7g sachet
fast-action yeast
3 tbsp
olive oil
300ml
water
"
1,"
25g
butter
cut into cubes
2 tbsp
clear honey
400g
seed & grain  bread flour
100g
strong white  bread flour
7g
sachet or 1½ tsp fast-action dried yeast
1
egg
beaten
mixed seeds
(we used sunflower, sesame, pumpkin and linseeds)
"
2,"
7g sachet
fast-action dried yeast
550g
strong white bread flour
plus extra for dusting
1½ tsp
fine sea salt
1 tbsp
dried oregano
100g pitted
green olives
roughly chopped, plus 1 tbsp brine
100g pitted
black olives
roughly chopped
1 tbsp
extra virgin olive oil
semolina
for dusting
"
3,"
500g
strong white bread flour
plus extra for kneading
7g sachet
fast action yeast
1½ tsp
caster sugar
1½ tsp
fine sea salt
300-350ml
warm water
vegetable oil
for the bowl
For the topping
90g
rice flour
½ x 7g sachet
fast action yeast
¼ tsp
salt
1 tsp
golden caster sugar
½ tbsp
toasted sesame oil
90ml
warm water
"
4,"
For the starter
250g
strong white bread flour
preferably organic or stoneground
For the levain
1 tbsp
sourdough starter (see above)
100g
strong white bread flour
preferably organic or stoneground
For the bread
levain
(see above)
1kg
strong white bread flour
preferably organic or stoneground, plus extra for dusting
20g
fine sea salt
"
5,"
500g
strong bread flour
plus extra for dusting
7g
dried fast action yeast
2 tsp
fine sea salt
5 tbsp
olive oil
plus extra for the tin and to serve
1 tsp
flaky sea salt
¼ small bunch of
rosemary
sprigs picked
"
6,"
400g
strong white flour
plus extra for dusting
1 tsp
caster sugar
5g
fast-action yeast
250ml
whole milk
warmed
fine semolina
for dusting
"
7,"
For the filling
80g
fine unsweetened desiccated coconut
(if you can't find fine, blitz in a small food processor until fine)
3 tbsp
double cream
(or vegan alternative)
1½ tbsp
sultanas
roughly chopped
1½ tbsp
ground unsalted, unroasted almonds
¾ tbsp
ground unsalted, unroasted pistachios
¾ tbsp
ground unsalted, unroasted cashew nuts
2½ tbsp
thick honey
or golden syrup
4
green cardamom pods
bashed and seeds finely ground
pinch
ground clove
(optional)
For the dough
pinch of
saffron
330g
self-raising flour
plus extra for dusting
1 tsp
baking powder
½ tbsp
brown sugar
or ground or grated jaggery (if using a block)
1 tbsp
melted ghee
(or ½ tbsp sunflower oil mixed with ½ tbsp melted unsalted butter)
2 tbsp
Greek yogurt
(or vegan alternative)
To garnish
1 tbsp
chopped pistachios
1 tbsp warm
milk
mixed with 1 tsp rosewater
1 tbsp
melted ghee
1 tbsp
flaked almonds
1 tbsp
crystallised rose petals
(optional)
"
8,"
500g
strong white bread flour
plus extra for dusting
4g
fast-action dried yeast
10g
fine sea salt
sea salt flakes or table salt
"
9,"
500g
strong bread flour
plus extra for dusting
7g sachet
fast-action dried yeast
5 tbsp
olive oil
plus extra for the tin
200g
cherry tomatoes
halved (a mixture of colours looks nice)
small bunch of
oregano
leaves picked, or use 1 tsp dried oregano
150g
olives
pitted
100g
feta
crumbled
"
10,"
2 bunches of
spring onions
(about 250g), trimmed
3½ tbsp
olive oil
4
garlic cloves
sliced
1
red chilli
(deseeded if you prefer less heat), sliced
½ tbsp
nigella seeds
100g
Greek-style yogurt
200g
feta
(vegetarian, if needed), crumbled
For the dough
7g sachet
fast-action dried yeast
400g
strong white bread flour
plus extra for dusting
1 tsp
caster sugar
2 tbsp
olive oil
plus extra for rising
"
11,"
7g sachet
fast-action dried yeast
2 tsp
caster sugar
2 tbsp
vegetable oil
plus extra for the bowl
½ tsp
baking powder
500g
plain flour
plus extra for dusting
50g
vegan salted plant-based butter block
4
garlic cloves
finely chopped
small handful of
coriander
finely chopped
"
12,"
100g
butter
plus extra for the dish
250ml
milk
400g
strong white bread flour
10g
fast-action dried yeast
1 tsp
sugar
For the topping
2 tsp
sunflower oil
plus extra for proving
2-3
garlic cloves
finely chopped
5-6
dill sprigs
finely chopped
1 tsp
vinegar
"
13,"
500g
strong white bread flour
plus extra for dusting
7g sachet
fast action yeast
1 tsp
white caster sugar
2 tsp
fine salt
1 tsp
sunflower oil
plus extra for the work surface and bowl
"
14,"
120g
rolled oats
plus extra for the topping
250g
plain flour
plus extra for dusting
1 tsp
bicarbonate of soda
150g
mature cheddar
grated
4
spring onions
chopped
350ml
buttermilk
plus a little extra (optional)
½ tsp
Dijon mustard
"
15,"
200g
rye
flour, plus extra for dusting
200g
strong white or  wholemeal flour
7g
sachet fast-action dried yeast
½ tsp
fine salt
1 tbsp
honey
1 tsp
caraway seed
(optional)
"
16,"
400g
gluten-free self-raising flour
plus extra for dusting (we used Doves)
1 tbsp
cumin seeds
toasted
300ml
natural yogurt
"
17,"
For the dough
300g
strong white bread flour
plus extra for dusting
½ tsp
ground cinnamon
(optional)
50g
light brown soft sugar
5g
fast-action dried yeast
75ml
milk
2
eggs
75g
butter
softened, plus extra for the tin and bowl
For the filling
100g
dark chocolate
chopped
75g
butter
softened
60g
light brown soft sugar
50g
ground almonds
2 tbsp
cocoa powder
50g
flaked almonds
For the syrup
50g
light brown soft sugar
"
18,"
For the biga
¼ tsp
dried active yeast
165g/6oz
plain flour
For the dough
½ tsp
dried action yeast
35ml/2tbsp
warm milk
1 tbsp/15ml
olive oil
250g/9oz
strong white bread flour
"
19,"
500g
plain white flour
or wholemeal flour, plus extra
2 tsp
bicarbonate of soda
½ tsp
fine salt
1 tbsp
sugar
350ml-400ml
natural yogurt
or buttermilk
handful of
oats
or seeds, optional
"
20,"
500g
plain wholemeal flour
2 tsp
sea salt
1 tsp
bicarbonate of soda
1 tbsp
finely chopped rosemary
(optional)
400ml
whole milk
1
lemon
juiced
2 tsp
honey
"
21,"
500g granary, strong wholewheat or white bread
flour
(I used granary)
7g sachet
fast-action dried yeast
1 tsp
salt
2 tbsp
olive oil
1 tbsp
clear honey
"
22,"
1x 7g sachet
dried yeast
2 tsp
golden caster sugar
300g
strong white bread flour
plus extra for dusting
½ tsp
baking powder
25g
butter
or ghee, melted, plus extra 2-3 tbsp for the tray and brushing
150ml
natural yogurt
1 tbsp
nigella seeds
"
23,"
For the starter
700g
strong white flour
For the loaf
500g
strong white flour
plus extra for dusting
1 tsp
fine salt
1 tbsp
clear honey
300g
sourdough starter
flavourless oil
for greasing
"
24,"
450g
strong white flour
2 tsp
fine  sea salt
50g
caster sugar
7g
dried active yeast
100ml
whole milk
4
eggs
at room temperature, beaten, plus 1 for egg wash
190g
salted butter
cubed and softened
"
25,"
2 tsp
fast-action dried yeast
500g
strong white bread flour
plus extra for dusting
2 tsp
salt
1 tbsp
olive oil
"
26,"
7g
sachet easy-blend yeast
or 15g fresh yeast
500g
strong white bread
flour, plus extra for dusting
2 tsp
salt
1 tsp
sugar
2 tbsp
olive oil
"
27,"
For the poolish
200g
strong white bread flour
½ tsp
easy-bake yeast
from a 7g sachet
For the baguettes
200g
plain white flour
250g
strong white flour
plus extra for dusting and kneading
the rest of the
yeast
from the 7g sachet
1 ½ tsp
fine salt
a little
semolina
or more flour, for dusting
"
28,"
125g
mozzarella
ball
140g
taleggio cheese
rind removed
100g
butter
softened
3
garlic cloves
finely chopped
handful parsley
leaves, chopped
1 tsp fresh  marjoram
leaves, chopped, optional
1
long baguette
large pinch of  paprika
"
29,"
400g
self-raising flour
plus extra for dusting
2
medium courgettes
50g
rolled oat
1 ½ tsp
bicarbonate of soda
75g
mature cheddar
grated
small bunch
thyme
leaves only
284ml
pot buttermilk
1 tbsp
clear honey
1
egg
beaten
"
30,"
300ml soy or
oat milk
2 tbsp
cider vinegar
250g
wholemeal plain flour
250g
plain flour
1½ tsp
baking soda
2 tbsp
porridge oats
"
31,"
500g
pack brown bread mix
25g
butter
plain flour
for dusting
12
raisins
6
flaked almonds
"
